"";"geo";"time";"B1G__CLV15_MNAC";"B1G__CP_MEUR";"B1G__CP_MNAC";"D1__CP_MEUR";"D1__CP_MNAC";"D1_D4_MD5__I16";"D11__CP_MEUR";"D11__CP_MNAC";"D12__CP_MEUR";"D12__CP_MNAC";"EMP_DC__THS_HW";"EMP_DC__THS_PER";"SAL_DC__THS_HW";"SAL_DC__THS_PER";"nace0";"nulc_va";"nulc_va_eur";"nulc_aper_va";"nulc_aper_va_eur";"nulc_hw_va";"nulc_hw_va_eur";"rulc_aper_va";"rulc_hw_va";"emp_ind";"lp_ind";"d1_per_ind";"va_ind";"nulc_va_rel_ecfin13";"nulc_va_eur_rel_ecfin13";"nulc_aper_va_rel_ecfin13";"nulc_aper_va_eur_rel_ecfin13";"nulc_hw_va_rel_ecfin13";"nulc_hw_va_eur_rel_ecfin13";"rulc_aper_va_rel_ecfin13";"rulc_hw_va_rel_ecfin13";"emp_ind_rel_ecfin13";"lp_ind_rel_ecfin13";"d1_per_ind_rel_ecfin13";"va_ind_rel_ecfin13"
"11";"AT";1997-04-01;55009;41574,5;41673,1;23034,1;23088,7;NA;18815,4;18860;4218,7;4228,7;1645488;3621,48;1305048;3111,09;"total";87,6873433984064;87,4799809678861;87,8031316952425;87,595495449349;89,6357897078812;89,4238196048416;105,137921276872;107,332515541461;88,3725356701001;85,8528730455266;75,3842827743625;75,8673146054476;105,027632362309;104,456327312196;104,317119916604;103,749609228314;NA;NA;103,872567783824;NA;98,4500059567793;94,2775916725566;98,3499454410678;92,8138706049389
"12";"AT";1997-04-01;9254,4;8302,2;8321,8;5012,4;5024,3;NA;4113,1;4122,8;899,3;901,5;278814;652,69;265993;631,73;"manu";102,937690586229;102,693883783694;103,088583094405;102,844418904603;103,38545953295;103,140592194527;110,173855281383;110,493310022188;106,667865139159;68,631690277723;70,7931978742572;73,1985406800273;104,899569658939;104,32620574535;104,901061554693;104,327692521235;NA;NA;107,340057874162;NA;94,0392362209184;92,8773868044495;97,4465257203832;87,3286970509671
"13";"AT";1997-07-01;55724,5;41912,9;42304,8;23039,4;23254,8;NA;18822,3;18998,3;4217,1;4256,5;1645661;3629,3;1302347;3119,38;"total";87,1841645783991;86,3766121999574;87,2552913631543;86,4470801654823;89,3156525785478;88,4883570711506;104,260486049907;106,72250904241;88,5633618596525;86,7821661016564;75,7248159934026;76,8541179212723;104,513078103593;103,604498729618;103,811362777992;102,908813784023;NA;NA;103,704059586256;NA;98,4335805523814;94,845560127813;98,4627481963287;93,3574426197391
"14";"AT";1997-07-01;9336,3;8359,9;8438;5019,2;5066,1;NA;4120,9;4159,4;898,3;906,7;279851;653,04;266899;631,85;"manu";102,883583881595;101,931127340262;103,070069850216;102,115886893706;103,363373054297;102,406474809839;109,59855571945;109,912599403709;106,725064962657;69,2019610373239;71,3686098268459;73,8463363752311;105,620159496396;104,700237952508;105,601084768757;104,681332405196;NA;NA;107,202580225326;NA;93,8275377358284;92,4296660384376;97,6239222437608;86,7120798365262
"15";"AT";1997-10-01;56373,8;42485;42853,5;23287,5;23489,5;NA;19046,7;19211,9;4240,8;4277,6;1640949;3642,07;1300767;3129,52;"total";87,049773219707;86,301181117262;87,1440577786838;86,3946548679665;89,0306449271863;88,2650181460589;103,992071386541;106,243519426557;88,874979563052;87,4855237440778;76,2412384565362;77,7496195187075;104,877610611473;104,056505695926;104,249057803933;103,432803632512;NA;NA;104,332607873165;NA;98,5623862119339;94,6305036042106;98,6536925166377;93,2676465728474
"16";"AT";1997-10-01;9514;8550,7;8624,9;5079,8;5123,9;NA;4174,9;4211,2;904,9;912,7;279440;653,5;266543;632,25;"manu";102,11384339246;101,234977588364;102,306227140842;101,425705542662;102,576195255555;101,69335011596;108,454638512142;108,742970765202;106,800241873539;70,46945974506;72,1371991895043;75,2518711131764;105,890960225625;105,059148561874;105,820672886725;104,989416409195;NA;NA;107,839846826943;NA;93,6976621391027;92,7159125687525;98,1298839157608;86,8602213786257
"17";"AT";1998-01-01;56902,2;42738,6;43204,9;23459,5;23715,5;NA;19214,2;19423,8;4245,4;4291,7;1638777;3650,06;1296917;3135,99;"total";87,071175894671;86,1312749425917;87,1764784183612;86,2354407647127;89,1986720653746;88,2358055835911;104,151807857797;106,56788815432;89,0699541480294;88,1122372760953;76,8159697406015;78,4783782497792;105,028776173039;104,500536366961;104,396851804854;103,871723364378;NA;NA;104,909068676601;NA;98,361428360055;95,2281455111892;99,4173931088388;93,6652676785885
"18";"AT";1998-01-01;9521,1;8519,7;8612,6;5142;5198;NA;4233,1;4279,3;908,9;918,8;280352;654,35;267283;632,88;"manu";103,513328338008;102,398140499045;103,739870311026;102,622241850576;104,03255552551;102,911773857671;110,213687536846;110,526812237852;106,939155730605;70,4304408226632;73,1075740295405;75,3080292259474;107,333906050354;106,794176471179;107,433617596375;106,893389568722;NA;NA;110,913767670616;NA;93,6479805345791;92,7524984820676;99,6643174683345;86,8484711555399
"19";"AT";1998-04-01;57492,1;43296,7;43699;23737,1;23957,7;NA;19465,1;19646;4272;4311,7;1637348;3664;1298812;3148,06;"total";87,0578889899927;86,2562690385285;87,160592368286;86,3580267348386;88,9772820500361;88,157988527693;104,022738959698;106,191003779268;89,4101225728836;88,6869831168724;77,3029419699942;79,2919565530705;104,112302242794;103,610439182013;103,539544622729;103,040376135318;NA;NA;104,281080616073;NA;98,2214425789619;96,171913598114;99,5781721269141;94,4589232916618
"20";"AT";1998-04-01;9617,8;8635,2;8715,4;5201,2;5249,5;NA;4287,4;4327,3;913,8;922,3;280445;655,42;267391;633,95;"manu";103,487840057093;102,535661244871;103,708582578522;102,754372741673;103,999418542964;103,042532760389;109,986681736797;110,297293882683;107,114023762441;71,0296114443516;73,7072830681588;76,0728869027021;105,895795707759;105,383970520147;106,01713849852;105,50472973954;NA;NA;109,511998473944;NA;93,2642691352352;94,0970777355687;99,7760011614432;87,7464533521486
