geo;exc_tuku
US;0,643
JP;0,004
DE;0,398
FR;0,118
UK;1,145
IT;0,001
CA;0,551
NL;0,353
BE;0,019
DK;0,104
SE;0,133
NO;0,103
ES;0,006
AT;0,057
KR;0,002
FI;0,168
